epoch,loss,lr,train_accuracy,acc_train_max_diff,validation_accuracy,validation_loss,acc_val_max_diff,test_random,test_accuarcy,test_loss,acc_test_max_dif
1,0.0027069214864633,0.001,0.5151222017209155,0.0030095122082295,0.5106657192219807,0.0027059786570236,0.0003413587471436,0.50414922840172,0.504264284995182,0.0027153907091583,0.00011505659346200002
2,0.0027033281078648,0.001,0.5236939373854266,0.0115812478727406,0.5303460959705735,0.0026972606547273,0.0200217354957364,0.50414922840172,0.5130661143950179,0.0027133516012654,0.0089168859932979
3,0.0026974299590328,0.001,0.5331703180887211,0.0210576285760349,0.5455748759962102,0.0026873191344706,0.0352505155213732,0.50414922840172,0.5195811939997986,0.002711082249419,0.0154319655980785
4,0.0026913597734123,0.001,0.5415479879858361,0.0294352984731501,0.5548890932397035,0.0026795490940883,0.0445647327648665,0.50414922840172,0.5258517783434727,0.0027065117721841,0.0217025499417526
5,0.0026814414238861,0.001,0.5515737240922199,0.039461034579533996,0.5609290531126344,0.0026700257717689,0.0506046926377974,0.50414922840172,0.5308711222332485,0.0027047559567301,0.0267218938315284
6,0.0026659424042838,0.001,0.5609724784885561,0.0488597889758701,0.5630747366661093,0.0026636355915363,0.0527503761912723,0.50414922840172,0.544764205893774,0.0026971952184241,0.0406149774920538
7,0.0026234271789442,0.001,0.5842334999313306,0.0721208104186446,0.5697974140333277,0.0026491554406735,0.0594730535584907,0.50414922840172,0.5523723231364427,0.0027162722442897,0.0482230947347226
8,0.0026193305049488,0.001,0.5829377377305649,0.0721208104186446,0.5627055118987906,0.0026612053228475,0.0594730535584907,0.50414922840172,0.5492657951129712,0.0027007570792176,0.0482230947347226
9,0.0026225634799015,0.001,0.5803462133290339,0.0721208104186446,0.5642590425235467,0.0026580395930348,0.0594730535584907,0.50414922840172,0.5507327666796106,0.0026894628356974,0.0482230947347226
10,0.0026165038765977,0.001,0.5828929533227045,0.0721208104186446,0.5680279217522154,0.0026491903944145,0.0594730535584907,0.50414922840172,0.5543426672994779,0.0026928137999799,0.0501934388977578
11,0.0026040549938665,0.001,0.5892732386292389,0.0771605491165529,0.5697138159728028,0.0026454458766103,0.0594730535584907,0.50414922840172,0.5478563518430628,0.0026977800239044,0.0501934388977578
12,0.0026017498742139,0.001,0.5878461088320823,0.0771605491165529,0.5782895836816586,0.0026350137308669,0.0679652232068216,0.50414922840172,0.5523147948397118,0.0026935488099195,0.0501934388977578
13,0.0025915791010511,0.001,0.5931157408236748,0.0810030513109888,0.574882962715265,0.0026333245051127,0.0679652232068216,0.50414922840172,0.553019516474666,0.0027050435002142,0.0501934388977578
14,0.0025898985160434,0.001,0.5953101768088422,0.0831974872961562,0.5717341024354902,0.0026375580786037,0.0679652232068216,0.50414922840172,0.5561404265723202,0.0026891283849839,0.0519911981706001
15,0.0025872757847897,0.001,0.5953639180982749,0.0832512285855889,0.5708911553251964,0.0026381859580858,0.0679652232068216,0.50414922840172,0.5549898606377012,0.0026900879686734,0.0519911981706001
16,0.0025846346219701,0.001,0.5944264311603938,0.0832512285855889,0.5756074792398149,0.0026358767614355,0.0679652232068216,0.50414922840172,0.559074369705599,0.0026832309759645,0.0549251413038789
17,0.0025760439853125,0.001,0.6003290161164155,0.0882163266037295,0.5784428467926209,0.0026265160393281,0.068118486317784,0.50414922840172,0.5589736951863198,0.0027008691052778,0.0549251413038789
18,0.0025734169063853,0.001,0.6008097020941189,0.0886970125814329,0.579947611882071,0.0026197508695844,0.06962325140723401,0.50414922840172,0.5579381858451626,0.0026928276645256,0.0549251413038789
19,0.0025716645193649998,0.001,0.5993557016522459,0.0886970125814329,0.5790976982667335,0.0026226677862137,0.06962325140723401,0.50414922840172,0.5607283082366139,0.0026874965969280002,0.0565790798348938
20,0.0025719185439050003,0.001,0.5998035457308517,0.0886970125814329,0.5812573148302961,0.0026198270570964,0.0709329543554589,0.50414922840172,0.5613179732781062,0.0026884227041712,0.0571687448763861
21,0.0025671981597406,0.001,0.6028190291934626,0.0907063396807766,0.5812782143454271,0.002615544445265,0.0709538538705901,0.50414922840172,0.5616343789101265,0.0026902213043949,0.0574851505084064
22,0.0025500633947069,0.001,0.6072974699795186,0.0951847804668326,0.585151591149752,0.0026102194441409,0.074827230674915,0.50414922840172,0.5610590959428169,0.0027063761339202,0.0574851505084064
23,0.002554957165599,0.001,0.6061002334760464,0.0951847804668326,0.5941244496461016,0.0025897568339542,0.0838000891712645,0.50414922840172,0.5645827041175878,0.0026852888235179,0.0604334757158677
24,0.0025488262232385,0.001,0.6056792600421571,0.0951847804668326,0.5953644875438889,0.0025909890378225,0.0850401270690519,0.50414922840172,0.5623103363967151,0.0026844748606338,0.0604334757158677
25,0.0025496700903696,0.001,0.6065152356555542,0.0951847804668326,0.5978097308142452,0.0025835854999415,0.0874853703394081,0.50414922840172,0.5648415814528771,0.0026821995042608,0.060692353051157014
26,0.0025567577213753,0.001,0.6058195845201202,0.0951847804668326,0.5968622861282952,0.0025826563681523,0.0874853703394081,0.50414922840172,0.565344954049273,0.0026849015189123,0.0611957256475529
27,0.0025431177651767,0.001,0.6117759107655745,0.0996632212528885,0.5872136766427019,0.0025971973047988,0.0874853703394081,0.50414922840172,0.5647265248594152,0.0026820553480473,0.0611957256475529
28,0.0025321041217548,0.001,0.613546387689662,0.10143369817697599,0.5948489661706515,0.0025921596833603,0.0874853703394081,0.50414922840172,0.5617206713552229,0.0026912184008378,0.0611957256475529
29,0.0025336243445925,0.001,0.6124715619010086,0.10143369817697599,0.5927520481524828,0.0025880830944288,0.0874853703394081,0.50414922840172,0.5639786570019129,0.0026829375745415,0.0611957256475529
30,0.0025295081486424,0.001,0.6141554556365656,0.1020427661238796,0.5984018837429639,0.0025861907626004,0.0880775232681269,0.50414922840172,0.5652442795299938,0.0026910015825239,0.0611957256475529
31,0.0025242608586922,0.001,0.6145913572064083,0.1024786676937223,0.6080574597336008,0.0025607221125842,0.0977330992587638,0.50414922840172,0.5648991097496081,0.0027026322578355,0.0611957256475529
32,0.002527857409868,0.001,0.6139225767156906,0.1024786676937223,0.604964331494176,0.0025638754295377,0.0977330992587638,0.50414922840172,0.5634465202571515,0.0026854243936313,0.0611957256475529
33,0.0025243422312455,0.001,0.6152810370874611,0.103168347574775,0.6023588586078137,0.0025644664069913,0.0977330992587638,0.50414922840172,0.5632164070702277,0.0026941064520859,0.0611957256475529
34,0.0025246939309133,0.001,0.6167021956302361,0.1045895061175501,0.6020801984060636,0.0025662428177845,0.0977330992587638,0.50414922840172,0.5672290057672118,0.0026825275209713,0.0630797773654917
35,0.0025124929732374,0.001,0.6197714203822797,0.1076587308695937,0.6101892102769882,0.0025446103636732,0.0998648498021512,0.50414922840172,0.5685665386662064,0.0026902711536665,0.0644173102644863
36,0.0025171394523795,0.001,0.6168634194985341,0.1076587308695937,0.6144875438889817,0.0025392589921527,0.1041631834141447,0.50414922840172,0.5667687793933641,0.0026796153101727,0.0644173102644863
37,0.0025057241498834,0.001,0.6210194125479941,0.10890672303530803,0.6199492838432815,0.0025259128700665,0.1096249233684445,0.50414922840172,0.5680056377730797,0.0026807367949111,0.0644173102644863
38,0.0025058954344465,0.001,0.6213090183854922,0.1091963288728062,0.6130594103550131,0.0025382247701381,0.1096249233684445,0.50414922840172,0.5677323783636076,0.0026784240633716,0.0644173102644863
39,0.0025063757692655,0.001,0.6214821847625531,0.1093694952498671,0.6141392186367943,0.0025349826757152,0.1096249233684445,0.50414922840172,0.5673440623606737,0.0026764467615117,0.0644173102644863
40,0.0025096081046398,0.001,0.6218792731789167,0.1097665836662307,0.6252925932118375,0.0025090862908275,0.1149682327370005,0.50414922840172,0.568753505630582,0.0026862345298031,0.0646042772288619
41,0.0025007715872998,0.001,0.6235273393881853,0.1114146498754993,0.6175806721284066,0.0025301575687695,0.1149682327370005,0.50414922840172,0.568264515108369,0.0026859912511108,0.0646042772288619
42,0.0024929457274772,0.001,0.6244289987997779,0.1123163092870919,0.614842835646213,0.0025332507456314,0.1149682327370005,0.50414922840172,0.5671427133221153,0.0026746545451425,0.0646042772288619
43,0.0024909788879588,0.001,0.6249664116941046,0.1128537221814186,0.6176503371788441,0.0025249861036695,0.1149682327370005,0.50414922840172,0.5688973263724094,0.0026757644353026,0.0647480979706893
44,0.0024860054379546,0.001,0.6273041577844257,0.1151914682717397,0.6209524605695814,0.00252068290568,0.1149682327370005,0.50414922840172,0.5697314866750083,0.0026726561599323,0.0655822582732882
45,0.0024947615331665,0.001,0.6236616926117671,0.1151914682717397,0.6164799643314942,0.0025194941510748,0.1149682327370005,0.50414922840172,0.5705944111259725,0.0026749569617133,0.0664451827242524
46,0.0024851108809026,0.001,0.6271996608327511,0.1151914682717397,0.6248258373739063,0.0025056585914922,0.1149682327370005,0.50414922840172,0.5703211517165006,0.0026717684089651,0.0664451827242524
47,0.0024791103881453,0.001,0.6287521869719171,0.1166394974592311,0.6270342194727749,0.002496627425012,0.1167098589979379,0.50414922840172,0.5688973263724094,0.0026840397739871,0.0664451827242524
48,0.0024891814118661,0.001,0.6256172784216779,0.1166394974592311,0.6289778743799811,0.0024930889236716,0.1186535139051441,0.50414922840172,0.5713998072802059,0.0026851399096311,0.0672505788784858
49,0.0024682027341919,0.001,0.6300479491726827,0.1179352596599967,0.6279955971688124,0.0024987029560827,0.1186535139051441,0.50414922840172,0.5684658641469272,0.0026689887259409,0.0672505788784858
50,0.0024767783985943,0.001,0.6288417557876383,0.1179352596599967,0.6282881903806499,0.0024900311851311,0.1186535139051441,0.50414922840172,0.5675885576217802,0.0026854918077181,0.0672505788784858
51,0.0024773322505778,0.001,0.6288984827042616,0.1179352596599967,0.6299740846012373,0.0024855450499132,0.1196497241264002,0.50414922840172,0.5695013734880845,0.002686103023857001,0.0672505788784858
52,0.0024757573166972,0.001,0.6296956451641796,0.1179352596599967,0.6280513292091624,0.0024895894040695,0.1196497241264002,0.50414922840172,0.5672146236930289,0.002670461881598,0.0672505788784858
53,0.0024753287011929,0.001,0.629591148212505,0.1179352596599967,0.6324680934068996,0.0024796094954468,0.1221437329320626,0.50414922840172,0.5671427133221153,0.0026770414470935,0.0672505788784858
54,0.0024638995933073,0.001,0.6332127139948289,0.1211000244821429,0.6335757677088558,0.002477370848441,0.1232514072340188,0.50414922840172,0.5681063122923588,0.0026787614556986,0.0672505788784858
55,0.0024603648635452,0.001,0.6343472523272964,0.1222345628146104,0.6252577606866188,0.0024929871042606,0.1232514072340188,0.50414922840172,0.5671283312479326,0.002684622652824,0.0672505788784858
56,0.0024554615730082,0.001,0.6353086242827031,0.1231959347700171,0.6371217187761244,0.0024621422397733,0.1267973583012874,0.50414922840172,0.5681063122923588,0.00268659168019,0.0672505788784858
57,0.0024670850182168,0.001,0.633565018003332,0.1231959347700171,0.6382572590982556,0.0024499407349831,0.1279328986234186,0.50414922840172,0.5712416044641958,0.0026925709023301,0.0672505788784858
58,0.0024549878174467,0.001,0.6353354949274194,0.1232228054147334,0.6429178509725241,0.0024491349671278,0.1325934904976871,0.50414922840172,0.5739741985589162,0.0026760751752298,0.0698249701571961
59,0.0024376631009353,0.001,0.6415485851112743,0.1294358955985883,0.6416290475394304,0.0024516916376175,0.1325934904976871,0.50414922840172,0.5704074441615969,0.0026787120620493,0.0698249701571961
60,0.0024498309746237,0.001,0.6372283825663257,0.1294358955985883,0.6401312489550243,0.0024480895885508,0.1325934904976871,0.50414922840172,0.5726510477341042,0.002703411380407,0.0698249701571961
61,0.0024448699008788,0.001,0.6384674178504679,0.1294358955985883,0.6420052388117929,0.0024495481176632,0.1325934904976871,0.50414922840172,0.5717162129122262,0.0026830372850859,0.0698249701571961
62,0.0024329533864647,0.001,0.6414411025324089,0.1294358955985883,0.6491877055118987,0.0024259848995501,0.1388633450370617,0.50414922840172,0.5714573355769369,0.0026816406036684,0.0698249701571961
63,0.0024357644646,0.001,0.6417247371155259,0.1296120476028399,0.6458995151312491,0.0024379586189186,0.1388633450370617,0.50414922840172,0.5699040715652012,0.0026787942536407,0.0698249701571961
64,0.0024324948630204,0.001,0.642671180934979,0.130558491422293,0.653409407568411,0.0024172933056443,0.143085047093574,0.50414922840172,0.5697171046008256,0.002683819464141,0.0698249701571961
65,0.0024265570355501,0.001,0.6443610459249175,0.1322483564122315,0.6523156662765424,0.0024206507451699,0.143085047093574,0.50414922840172,0.5699903640102976,0.0026809514465549,0.0698249701571961
66,0.0024256036836922,0.001,0.6448178468850951,0.1327051573724091,0.654384718274536,0.0024010968957066,0.144060357799699,0.50414922840172,0.5725359911406424,0.0027035972687014,0.0698249701571961
67,0.0024246155848808,0.001,0.6462778185813494,0.1341651290686634,0.6548166415872485,0.0024008421523295,0.1444922811124115,0.50414922840172,0.5701773309746732,0.0026996543962896,0.0698249701571961
68,0.0024199397700648,0.001,0.6462121347831539,0.1341651290686634,0.6560079139497297,0.0023958665769162,0.1456835534748927,0.50414922840172,0.5677036142152421,0.0027127790915844,0.0698249701571961
69,0.0024211282127902,0.001,0.6447402205781368,0.1341651290686634,0.6618946107116982,0.0023870252735943,0.1515702502368612,0.50414922840172,0.5695445197106327,0.0027004520532129994,0.0698249701571961
70,0.0024137513809691,0.001,0.6485349527375216,0.1364222632248356,0.6610307640862731,0.0023823020001777,0.1515702502368612,0.50414922840172,0.5710977837223684,0.0026886256999442,0.0698249701571961
71,0.002402933185368,0.001,0.6502487027449856,0.1381360132322996,0.6609610990358357,0.0023796931581839,0.1515702502368612,0.50414922840172,0.5683795717018308,0.002716082426843,0.0698249701571961
72,0.0023938241148017,0.001,0.6528342558921353,0.1407215663794493,0.6676698433929666,0.0023501595107583,0.1573454829181296,0.50414922840172,0.5673872085832219,0.0027282291884026,0.0698249701571961
73,0.0023817006305024,0.001,0.6550675050307818,0.1429548155180958,0.6676419773727916,0.0023545500474241,0.1573454829181296,0.50414922840172,0.5691562037076987,0.0026962064924858,0.0698249701571961
74,0.0023846096427823,0.001,0.654147931856045,0.1429548155180958,0.6652037006074792,0.0023687653999686,0.1573454829181296,0.50414922840172,0.5702204771972214,0.0026913168546707,0.0698249701571961
75,0.0023853980798343,0.001,0.6544882933557853,0.1429548155180958,0.6685197570083041,0.0023567491510849,0.1581953965334671,0.50414922840172,0.5718887978024191,0.0026964505204046,0.0698249701571961
76,0.0023828204683507,0.001,0.6552287288990798,0.1431160393863938,0.6734032770439726,0.0023421817414787,0.1630789165691356,0.50414922840172,0.5730825099595863,0.0026774478814031,0.0698249701571961
77,0.0023717253326103,0.001,0.6576052881428802,0.1454925986301942,0.6700175555927103,0.0023365052087742,0.1630789165691356,0.50414922840172,0.5716443025413125,0.0026929405456811,0.0698249701571961
78,0.0023640113434318,0.001,0.6588592515629759,0.1467465620502899,0.6692860725631166,0.0023479320676518,0.1630789165691356,0.50414922840172,0.5704793545325106,0.0026850629707682,0.0698249701571961
79,0.0023539474545065,0.001,0.6606297284870633,0.1485170389743773,0.6739536309424288,0.0023251092399298,0.1636292704675918,0.50414922840172,0.5689692367433231,0.0026909790242948,0.0698249701571961
80,0.0023597984804372,0.001,0.6602565250882253,0.1485170389743773,0.6744830853257537,0.0023242319819205,0.1641587248509167,0.50414922840172,0.5688541801498612,0.0026839630871522,0.0698249701571961
81,0.0023561398710755,0.001,0.6595996871062704,0.1485170389743773,0.6778270077467536,0.0023089459581478,0.1675026472719166,0.50414922840172,0.5718600336540536,0.0026769727951544,0.0698249701571961
82,0.0023484509545161,0.001,0.6601669562725042,0.1485170389743773,0.6745945494064538,0.0023205367599031,0.1675026472719166,0.50414922840172,0.5700910385295768,0.0026889191725179,0.0698249701571961
83,0.0023380243575321,0.001,0.6629555320686217,0.1508428425559357,0.6810803656021847,0.0022887380008167,0.1707560051273476,0.50414922840172,0.5731112741079518,0.0027115869249664,0.0698249701571961
84,0.0023356633169498,0.001,0.6632869366867898,0.1511742471741038,0.6807459733600847,0.0022981729768895,0.1707560051273476,0.50414922840172,0.5736434108527132,0.0026751133991531,0.0698249701571961
85,0.0023338047522713,0.001,0.6641348548089497,0.1520221652962637,0.6803906816028534,0.0022875702318267,0.1707560051273476,0.50414922840172,0.5725791373631905,0.0027015268068846,0.0698249701571961
